timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
58294-03-23,76342.78,77904.93,74937.52,75780.0,18279.93022,1777507199999999,1399735858.345528,3032890,9680.02112,741279741.5187618,0
58296-12-17,75780.0,76669.14,75323.65,76346.57,10381.81607,1777593599999999,790584591.6891539,2569480,5585.19124,425311383.2018324,0
58299-09-13,76346.58,78914.12,76320.42,78231.13,17315.46502,1777679999999999,1347837835.9195642,2388458,8322.98012,647849577.8083475,0
58302-06-10,78231.13,79199.48,78040.0,78686.85,6150.87642,1777766399999999,482238389.4494098,936143,3297.03958,258534491.673966,0
58305-03-06,78686.84,79447.0,78084.08,78568.57,7425.7929,1777852799999999,584294330.4516287,1352474,3464.91412,272683292.169375,0
58307-12-01,78568.58,80776.99,78202.0,79861.01,26042.96135,1777939199999999,2074174850.511439,3734604,13351.64548,1063054861.8782552,0
58310-08-27,79861.01,81791.48,79808.72,80905.52,16947.17995,1778025599999999,1374319029.230936,2490930,8628.14977,699849788.9064542,0
58313-05-23,80905.53,82850.0,80731.14,81447.01,18798.77396,1778111999999999,1535650624.7612484,2794707,9976.68805,815009074.2302134,0
58316-02-17,81447.01,81708.32,79500.0,80006.0,16154.80338,1778198399999999,1300766382.102334,2540329,7625.14879,614218758.7473308,0
58318-11-13,80006.0,80500.0,79181.48,80193.17,16001.31009,1778284799999999,1278566045.4172618,2265372,8328.38654,665600036.192464,0
58321-08-09,80193.18,81080.0,80129.85,80678.4,7548.42177,1778371199999999,607596225.98642,1002373,4032.72566,324554540.3255052,0
58324-05-05,80678.41,82479.32,80279.77,82210.07,12034.31882,1778457599999999,977223714.2634743,1801608,6395.8966,519505191.5151365,0
58327-01-30,82210.07,82380.0,80462.97,81745.65,12951.76056,1778543999999999,1053193670.8757555,2576396,6132.37349,498860919.4964037,0
58329-10-26,81745.66,81788.0,79843.59,80504.47,12386.25676,1778630399999999,1000180167.440677,2345137,5716.20385,461739840.0868008,0
58332-07-22,80504.47,81324.64,78754.65,79313.61,14810.05643,1778716799999999,1184929842.8688235,2350570,7161.64182,573129996.834195,0
58335-04-18,79313.61,82048.13,78922.0,81089.99,19727.86807,1778803199999999,1590656475.018797,3101046,10750.20775,867205459.8346943,0
58338-01-12,81090.0,81664.45,78659.0,79113.21,17351.27079,1778889599999999,1387152674.368868,3184114,8333.17845,666666033.915996,0
58340-10-08,79113.2,79227.77,77640.0,78148.05,12132.86192,1778975999999999,949890656.658851,1597661,5776.31138,452258189.4353481,0
58343-07-05,78148.05,78599.99,76735.16,77457.67,8442.7022,1779062399999999,658061481.644852,1570433,3897.8677,303858886.908721,0
58346-03-31,77457.67,77800.0,76051.0,77001.87,18745.51678,1779148799999999,1439862031.891971,3529328,8916.45791,684998988.3253162,0
58348-12-25,77001.88,77414.62,76144.71,76834.36,11024.85978,1779235199999999,846904378.3078035,2315121,5680.77448,436435106.0620676,0
58351-09-21,76834.36,77853.04,76516.74,77552.23,11296.26307,1779321599999999,873091271.471635,2437754,5606.16242,433402000.2313096,0
58354-06-17,77552.24,78200.0,76719.47,77615.52,11318.25841,1779407999999999,878168697.2277491,2473146,5765.00854,447290745.1412532,0
58357-03-13,77615.52,77900.0,75359.18,75539.5,11272.36134,1779494399999999,866200460.9104595,2370783,5204.99076,400374654.6094489,0
58359-12-08,75539.5,77404.18,74289.6,76752.01,15086.88814,1779580799999999,1138996605.773816,2103536,7738.58719,584406871.6902983,0
58362-09-03,76752.0,77543.15,76108.0,77064.96,8398.00156,1779667199999999,644925517.611316,1612969,4513.13276,346628082.28819406,0
58365-05-30,77064.96,77905.52,76914.25,77322.01,7672.32197,1779753599999999,593868004.9975973,1778509,3644.38154,282126295.7074095,0
58368-02-24,77322.01,78080.0,75677.97,75930.01,16953.47629,1779839999999999,1299609317.6975915,3360745,7867.0405,603376144.8767151,0
58370-11-20,75930.01,76174.15,74243.99,74449.3,16877.77483,1779926399999999,1270680262.9088244,3367068,7990.81792,601880855.3520991,0
58373-08-16,74449.31,74590.77,72582.82,73617.51,21274.02026,1780012799999999,1560808525.5072746,3799713,11285.37807,828070542.0512333,0
58376-05-12,73617.52,74514.1,72512.49,73460.78,18686.74141,1780099199999999,1376106492.906427,2897318,10668.37212,786121889.890037,0
58379-02-06,73460.78,74143.76,73216.0,73884.38,7515.40909,1780185599999999,553989386.1115208,1124406,4118.11087,303592073.2673063,0
58381-11-02,73884.38,74275.66,73400.0,73674.39,6986.45707,1780271999999999,515907532.5891972,1363437,3407.47243,251629752.0865094,0
58384-07-29,73674.39,74092.0,70686.68,71408.9,23921.09184,1780358399999999,1723958338.6828775,4237773,11600.30396,835109172.1168073,0
58387-04-25,71408.9,71408.9,66193.0,66760.83,32858.19586,1780444799999999,2253348577.983128,6250677,15675.4915,1074442481.8457325,0
58390-01-19,66760.84,67516.0,64092.49,64142.75,30138.3065,1780531199999999,1998349981.892944,6676358,14567.29572,967367597.5473663,0
58392-10-15,64142.75,64764.32,61383.56,63885.99,43577.17571,1780617599999999,2759349733.489383,9057976,20172.82504,1278141865.0268295,0
58395-07-12,63885.99,63978.0,59130.91,61056.47,55027.28807,1780703999999999,3379021750.503328,11658856,24879.51775,1529682071.4700003,0
58398-04-07,61056.47,61530.05,59500.0,60884.62,19795.58877,1780790399999999,1202325958.4682336,5000874,9473.55921,575481185.8910959,0
58401-01-01,60884.62,64234.68,60746.0,63332.01,26612.10443,1780876799999999,1656650772.813708,4752461,14156.31067,882490717.5764754,0
58403-09-28,63332.01,64200.0,62408.0,63085.99,23053.38624,1780963199999999,1462563286.7512205,4887564,11227.99606,712684502.0653824,0
58406-06-24,63086.0,63526.01,60780.0,61730.0,21636.21959,1781049599999999,1347322049.1623404,4347332,10357.23644,645037339.5456268,0
58409-03-20,61730.0,62857.99,60755.0,61510.99,15998.71652,1781135999999999,986710883.5893747,4655686,7714.59491,475908655.4422775,0
58411-12-15,61510.99,63933.02,61510.99,63625.99,17380.94642,1781222399999999,1093211866.433885,3446803,8975.49366,564559048.5586231,0
58414-09-10,63626.0,64394.44,62829.81,63580.01,16397.0524,1781308799999999,1042661512.679604,3154052,8373.87233,532498396.6271599,0
58417-06-06,63580.0,64762.77,63418.66,64458.01,9960.74163,1781395199999999,637302050.4867933,1489009,5326.34918,340833402.1496999,0
58420-03-02,64458.01,65800.0,63678.83,65746.45,13203.03375,1781481599999999,853654539.2638302,2060901,6966.04602,450843680.3207427,0
58422-11-27,65746.45,67292.15,65354.0,66328.74,18559.80102,1781567999999999,1230675240.537974,3140494,8827.32403,585352821.9493269,0
58425-08-23,66328.74,66992.0,65360.92,65675.01,14302.05801,1781654399999999,945125184.2518406,2964629,6709.60119,443519254.49336064,0
58428-05-19,65675.02,66445.93,63915.77,64509.4,19048.65409,1781740799999999,1242898548.082235,3933123,9344.30808,609795592.7365174,0
58431-02-13,64509.4,64806.0,62272.07,62958.01,16935.59661,1781827199999999,1076015381.1924088,3573931,8148.66252,517693581.0628108,0
58433-11-09,62958.01,63666.0,62316.44,63543.91,14247.424,1781913599999999,896102952.7753174,2671918,6709.20964,421981528.2738967,0
58436-08-05,63543.9,64388.0,63184.21,64298.01,9522.10324,1781999999999999,607077211.7557423,1970081,4669.85879,297796699.61223286,0
58439-05-02,64298.01,64588.0,63270.0,63311.99,8034.66333,1782086399999999,514862175.7362123,1768294,3833.13382,245702909.4202356,0
58442-01-26,63312.0,65622.83,63312.0,64020.01,15423.10851,1782172799999999,995034557.156346,3521337,7677.53285,495354694.74254,0
58444-10-22,64020.01,64275.38,61938.0,62734.57,20222.99292,1782259199999999,1268093221.2502334,3626190,9113.2674,571633628.7589369,0
58447-07-19,62734.57,63239.06,59102.7,61077.99,30678.28543,1782345599999999,1871885814.3078947,5367531,14451.4544,882414090.5623845,0
58450-04-14,61078.0,61962.4,58115.01,59794.0,30386.00694,1782431999999999,1822854100.0700865,5683275,14406.15352,865169997.7746557,0
58453-01-08,59794.64,60759.99,58337.0,60097.27,27403.55723,1782518399999999,1636102058.3778124,6019134,13907.49037,831252961.0007827,0
58455-10-05,60097.27,60941.17,59855.16,60029.0,9587.22916,1782604799999999,578765263.0698456,1763416,5067.9265,305951190.2586987,0
58458-07-01,60029.01,60545.01,58905.0,59577.01,8907.13796,1782691199999999,533333220.8111167,2299232,4290.64588,257041890.3605781,0
58461-03-27,59577.01,60780.57,58900.01,60260.21,20203.14178,1782777599999999,1210648237.7440157,4884336,10334.16227,619595248.5255269,0
58463-12-22,60260.2,60276.54,58201.0,58624.71,19639.82787,1782863999999999,1157911191.4893565,3804809,8879.55126,523471695.1315744,0
