timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
58294-03-23 00:00:00,2289.42,2294.24,2285.38,2292.4,4053.3505,1777424399999999,9279821.845952,58295,2562.0524,5866185.309723,0
58294-05-03 16:00:00,2292.41,2297.3,2278.84,2292.45,10251.4496,1777427999999999,23443079.336459,114974,5252.5988,12014945.843361,0
58294-06-14 08:00:00,2292.45,2295.61,2284.68,2288.88,7158.8638,1777431599999999,16393141.566788,69011,2619.9827,6000463.614001,0
58294-07-26 00:00:00,2288.87,2316.36,2287.61,2311.52,18471.9819,1777435199999999,42598171.832005,151805,10858.4489,25048158.919354,0
58294-09-05 16:00:00,2311.53,2342.5,2309.33,2327.32,26313.9011,1777438799999999,61268016.12757,193148,12948.6576,30151523.935609,0
58294-10-17 08:00:00,2327.32,2333.22,2322.83,2329.19,12864.951,1777442399999999,29950526.875718,97179,6577.836,15320960.66299,0
58294-11-28 00:00:00,2329.19,2336.64,2320.24,2324.58,9480.4591,1777445999999999,22077549.493827,96317,5406.3385,12592621.492856,0
58295-01-08 16:00:00,2324.59,2330.31,2321.7,2323.73,6478.9845,1777449599999999,15065735.722331,70542,2554.0918,5939754.791733,0
58295-02-19 08:00:00,2323.74,2329.03,2321.11,2325.33,4136.2641,1777453199999999,9614154.348909,73135,1814.1972,4217199.325241,0
58295-04-02 00:00:00,2325.33,2346.66,2322.74,2339.72,12808.4246,1777456799999999,29933868.975413,151858,7464.8193,17444999.230266,0
58295-05-13 16:00:00,2339.71,2346.95,2330.01,2333.68,9453.427,1777460399999999,22119841.817866,135311,4617.8443,10805636.226107,0
58295-06-24 08:00:00,2333.67,2336.0,2328.79,2331.74,8275.1971,1777463999999999,19296595.638266,90848,3750.2351,8744554.204665,0
58295-08-05 00:00:00,2331.74,2331.94,2307.4,2316.13,16486.429,1777467599999999,38193973.867977,159996,9272.7703,21476626.545458,0
58295-09-15 16:00:00,2316.13,2318.15,2289.94,2303.03,18372.5595,1777471199999999,42304932.921606,264783,9211.8187,21211622.082054,0
58295-10-27 08:00:00,2303.02,2308.29,2293.86,2299.39,14483.7704,1777474799999999,33339448.933667,175228,8008.6055,18431032.846678,0
58295-12-08 00:00:00,2299.4,2301.24,2263.1,2272.51,31727.41,1777478399999999,72364429.336155,318219,15104.9251,34446733.463509,0
58296-01-18 16:00:00,2272.5,2279.27,2263.35,2267.47,19698.2895,1777481999999999,44742086.741803,162561,9822.2343,22308645.972817,0
58296-02-29 08:00:00,2267.48,2283.33,2266.3,2283.12,11615.5567,1777485599999999,26404079.715066,122493,7357.4742,16727578.354243,0
58296-04-11 00:00:00,2283.12,2285.92,2220.36,2239.41,56466.6844,1777489199999999,126479333.933164,496219,26076.4444,58374951.425441,0
