timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
58294-03-23 00:00:00,2289.42,2291.0,2287.43,2288.67,1005.5026,1777421699999999,2301981.35313,15722,616.2223,1410817.685012,0
58294-04-02 10:00:00,2288.67,2289.13,2286.57,2286.97,715.1549,1777422599999999,1635938.585001,10056,385.6825,882308.953995,0
58294-04-12 20:00:00,2286.96,2290.02,2285.38,2289.2,741.1378,1777423499999999,1695056.905193,11324,449.6966,1028504.629996,0
58294-04-23 06:00:00,2289.2,2294.24,2288.34,2292.4,1591.5552,1777424399999999,3646845.002628,21193,1110.451,2544554.04072,0
58294-05-03 16:00:00,2292.41,2292.43,2282.09,2284.35,3298.4397,1777425299999999,7541902.199562,26633,1755.3697,4014548.51931,0
58294-05-14 02:00:00,2284.35,2285.87,2280.28,2281.93,2582.022,1777426199999999,5894674.236584,26789,1077.8674,2460664.714696,0
58294-05-24 12:00:00,2281.93,2287.19,2278.84,2287.03,1488.7176,1777427099999999,3398357.980363,24235,750.2065,1713112.264198,0
58294-06-03 22:00:00,2287.03,2297.3,2286.0,2292.45,2882.2703,1777427999999999,6608144.91995,37317,1669.1552,3826620.345157,0
58294-06-14 08:00:00,2292.45,2295.61,2290.5,2292.68,2493.084,1777428899999999,5716250.316208,28753,907.6987,2081632.649556,0
58294-06-24 18:00:00,2292.69,2293.99,2289.43,2289.49,1332.6016,1777429799999999,3053865.208867,17374,574.0751,1315667.986229,0
58294-07-05 04:00:00,2289.49,2289.81,2284.68,2286.73,2070.0561,1777430699999999,4733304.501865,12639,576.0609,1317073.932601,0
58294-07-15 14:00:00,2286.73,2289.01,2286.32,2288.88,1263.1221,1777431599999999,2889721.539848,10245,562.148,1286089.045615,0
58294-07-26 00:00:00,2288.87,2292.06,2287.61,2291.7,1366.8224,1777432499999999,3130450.515976,13973,548.5946,1256577.333541,0
58294-08-05 10:00:00,2291.7,2302.31,2291.7,2300.63,4422.8366,1777433399999999,10169345.891031,45471,2658.6697,6112853.912578,0
58294-08-15 20:00:00,2300.64,2316.36,2298.4,2314.14,7748.8405,1777434299999999,17894146.556958,58449,5102.0985,11785453.065374,0
58294-08-26 06:00:00,2314.13,2315.88,2308.83,2311.52,4933.4824,1777435199999999,11404228.86804,33912,2549.0861,5893274.607861,0
58294-09-05 16:00:00,2311.53,2312.4,2309.33,2309.8,1954.0516,1777436099999999,4514538.41697,22157,938.4387,2168079.449385,0
58294-09-16 02:00:00,2309.8,2315.86,2309.8,2314.54,1921.6962,1777436999999999,4446428.906712,20408,643.4125,1488432.730026,0
58294-09-26 12:00:00,2314.54,2342.5,2313.85,2334.59,16598.5075,1777437899999999,38685685.813742,113172,9532.0853,22214427.148385,0
58294-10-06 22:00:00,2334.59,2336.43,2326.89,2327.32,5839.6458,1777438799999999,13621362.990146,37411,1834.7211,4280584.607813,0
58294-10-17 08:00:00,2327.32,2329.89,2322.83,2325.57,3910.177,1777439699999999,9096216.234707,31034,1450.7222,3374953.731773,0
58294-10-27 18:00:00,2325.57,2327.1,2323.08,2327.1,2563.5754,1777440599999999,5961376.291327,18446,757.6708,1762071.895321,0
58294-11-07 04:00:00,2327.09,2327.29,2324.59,2326.62,1171.4124,1777441499999999,2724743.622022,14756,504.2099,1172552.064101,0
58294-11-17 14:00:00,2326.62,2333.22,2326.62,2329.19,5219.7862,1777442399999999,12168190.727662,32943,3865.2331,9011382.971795,0
