timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
58308-10-29 08:00:00,79696.75,79930.0,78202.0,78793.67,5989.03806,1777895999999999,472495368.85239553,655591,3221.55035,254082008.87206072,0
58309-04-14 00:00:00,78793.67,80545.17,78500.0,80028.85,5918.14009,1777910399999999,471086959.5040747,926658,3083.54402,245430653.2626571,0
58309-09-27 16:00:00,80028.85,80776.99,79619.33,80053.31,3742.49503,1777924799999999,300180394.6798754,648707,1749.19733,140308261.607929,0
58310-03-13 08:00:00,80053.31,80397.19,79744.91,79861.01,1669.26249,1777939199999999,133591675.7078997,259331,721.22603,57735398.3888072,0
58310-08-27 00:00:00,79861.01,81083.98,79808.72,80893.08,2402.14099,1777953599999999,193362338.3593288,378068,1377.94875,110941834.4266317,0
58311-02-09 16:00:00,80893.08,81323.52,80725.0,80855.59,2974.59341,1777967999999999,240873499.2330156,376455,1302.84689,105505707.5839197,0
58311-07-26 08:00:00,80855.59,81095.48,80527.76,81014.05,2484.57226,1777982399999999,200675636.2948736,255333,1195.29674,96550560.6633579,0
58312-01-09 00:00:00,81014.05,81712.32,80932.54,81525.19,4561.19169,1777996799999999,371228843.00066733,703156,2538.94944,206688342.5600406,0
58312-06-23 16:00:00,81525.19,81680.0,81050.04,81606.35,1780.45876,1778011199999999,144912031.9000956,348055,829.18231,67520109.4112713,0
58312-12-07 08:00:00,81606.35,81791.48,80790.0,80905.52,2744.22284,1778025599999999,223266680.4429551,429863,1383.92564,112643234.261233,0
58313-05-23 00:00:00,80905.53,81760.84,80731.14,81581.69,3011.74344,1778039999999999,244741070.8369929,402234,1982.54356,161079722.7835539,0
58313-11-05 16:00:00,81581.7,81649.99,81060.0,81359.82,2300.70653,1778054399999999,187249650.6160106,335929,1054.34537,85813557.7356622,0
58314-04-21 08:00:00,81359.82,82850.0,81328.68,82522.89,5188.93186,1778068799999999,426154900.13281155,583617,2884.51536,236956793.1809979,0
58314-10-05 00:00:00,82522.88,82539.33,81136.0,81704.25,4508.6602,1778083199999999,368798606.29688126,793007,2065.64028,168977454.3731621,0
58315-03-20 16:00:00,81704.25,81907.51,81200.0,81464.87,2369.91746,1778097599999999,193245510.04107192,393608,1335.0187,108896902.9773767,0
58315-09-03 08:00:00,81464.86,81700.0,81000.0,81447.01,1418.81447,1778111999999999,115460886.8374801,286312,654.62478,53284643.1794607,0
58316-02-17 00:00:00,81447.01,81490.03,80830.23,80834.91,2068.1731,1778126399999999,167618852.3828372,392967,957.6453,77631540.6715435,0
