timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
58294-03-23 00:00:00,76342.78,76557.97,76276.0,76512.0,636.88517,1777424399999999,48665597.60029,70170,342.84369,26197416.6069446,0
58294-05-03 16:00:00,76511.99,76668.02,76187.75,76571.0,371.48818,1777427999999999,28395383.7707144,86941,211.21934,16147517.3999755,0
58294-06-14 08:00:00,76571.0,76666.82,76402.72,76531.29,315.29662,1777431599999999,24124805.1037399,61130,179.49473,13733803.0551672,0
58294-07-26 00:00:00,76531.29,77127.62,76519.94,76994.78,568.25927,1777435199999999,43688040.4880299,126002,363.45732,27938883.2870351,0
58294-09-05 16:00:00,76994.77,77455.71,76880.0,77269.76,655.24397,1777438799999999,50584234.259835,118055,353.64752,27298418.6908691,0
58294-10-17 08:00:00,77269.76,77329.31,77198.07,77288.38,412.95649,1777442399999999,31904881.1261478,72991,220.93467,17069426.8080234,0
58294-11-28 00:00:00,77288.39,77337.57,76907.07,77031.06,974.38933,1777445999999999,75097495.6998296,89999,569.33671,43873862.2841742,0
58295-01-08 16:00:00,77031.07,77182.91,77031.06,77053.64,931.98531,1777449599999999,71823640.8185772,67058,504.40951,38871687.7263303,0
58295-02-19 08:00:00,77053.65,77148.79,76972.32,77046.32,539.09721,1777453199999999,41531536.2220876,65869,281.52211,21690968.5629341,0
58295-04-02 00:00:00,77046.31,77800.0,76972.32,77642.0,835.54071,1777456799999999,64717488.3713181,128804,575.44855,44561143.2827493,0
58295-05-13 16:00:00,77642.0,77904.93,77559.19,77619.61,790.81622,1777460399999999,61465699.0963253,130604,406.79978,31621147.5539487,0
58295-06-24 08:00:00,77619.62,77694.61,77485.81,77590.03,531.7514,1777463999999999,41254142.850333,93726,233.8469,18142678.7210082,0
58295-08-05 00:00:00,77590.04,77596.39,76850.0,77143.68,1776.35149,1777467599999999,137220353.912218,165165,607.73143,46931585.2264149,0
58295-09-15 16:00:00,77143.68,77240.0,76425.62,76783.43,1000.6949,1777471199999999,76863480.2771353,244561,477.0633,36632334.8611184,0
58295-10-27 08:00:00,76783.42,76927.69,76489.99,76570.0,1353.72071,1777474799999999,103831096.0320672,211273,948.0707,72742146.992006,0
58295-12-08 00:00:00,76570.0,76634.61,75705.32,75924.25,1132.75734,1777478399999999,86248554.826363,263826,578.09727,44032288.9180099,0
58296-01-18 16:00:00,75924.24,76125.47,75696.13,75803.54,1021.10079,1777481999999999,77472168.8628467,164211,588.50494,44654803.0853947,0
58296-02-29 08:00:00,75803.55,76184.01,75803.55,76184.01,549.93434,1777485599999999,41776178.898986,111894,317.62583,24128418.969671,0
58296-04-11 00:00:00,76184.0,76274.8,74937.52,75513.91,1926.88309,1777489199999999,145067038.6684005,294876,857.28274,64538149.6869087,0
58296-05-22 16:00:00,75513.92,75591.83,75302.31,75563.86,464.5754,1777492799999999,35058390.2980008,119543,227.7294,17185818.7090005,0
58296-07-03 08:00:00,75563.87,75857.32,75497.43,75676.79,575.31173,1777496399999999,43526306.703035,129870,318.9469,24131072.0187098,0
58296-08-14 00:00:00,75676.79,76088.9,75607.7,75933.93,363.06477,1777499999999999,27548477.7373135,80429,215.37606,16345338.6941756,0
58296-09-24 16:00:00,75933.94,76004.14,75818.14,75927.38,272.33397,1777503599999999,20678748.535335,70314,151.49269,11503036.1619477,0
58296-11-05 08:00:00,75927.38,75990.06,75692.33,75780.0,279.49181,1777507199999999,21192118.1865993,65579,149.13903,11307794.2162448,0
58296-12-17 00:00:00,75780.0,76344.61,75656.03,76248.74,562.71461,1777510799999999,42778314.1358503,119534,312.01421,23730551.3667451,0
58297-01-27 16:00:00,76248.76,76473.26,76178.73,76232.8,331.53653,1777514399999999,25299016.0946949,107748,214.67548,16382480.4435211,0
58297-03-10 08:00:00,76232.81,76351.04,75494.7,75704.74,537.06765,1777517999999999,40740052.1099857,188003,212.15252,16098589.4095604,0
58297-04-21 00:00:00,75704.74,75994.26,75659.85,75928.1,182.12647,1777521599999999,13816312.2895181,86860,115.55223,8766403.7011401,0
58297-06-01 16:00:00,75928.09,75963.92,75414.57,75497.0,426.96926,1777525199999999,32282647.6446792,122194,216.82938,16394352.9400943,0
58297-07-13 08:00:00,75497.01,75750.0,75323.65,75600.09,491.70915,1777528799999999,37148606.2168342,104638,319.00229,24094340.785823,0
